2023-04-12 07:52:57 install libperl5.28:amd64 <none> 5.28.1-6+deb10u1
2023-04-12 07:52:57 status half-installed libperl5.28:amd64 5.28.1-6+deb10u1
2023-04-12 07:52:57 status unpacked libperl5.28:amd64 5.28.1-6+deb10u1
2023-04-12 07:52:57 install perl:amd64 <none> 5.28.1-6+deb10u1
2023-04-12 07:52:57 status half-installed perl:amd64 5.28.1-6+deb10u1
2023-04-12 07:52:57 status unpacked perl:amd64 5.28.1-6+deb10u1
2023-04-12 07:52:58 install libpython2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2023-04-12 07:52:58 status half-installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 install python2.7-minimal:amd64 <none> 2.7.16-2+deb10u1
2023-04-12 07:52:58 status half-installed python2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 install python2-minimal:amd64 <none> 2.7.16-1
2023-04-12 07:52:58 status half-installed python2-minimal:amd64 2.7.16-1
2023-04-12 07:52:58 status unpacked python2-minimal:amd64 2.7.16-1
2023-04-12 07:52:58 install python-minimal:amd64 <none> 2.7.16-1
2023-04-12 07:52:58 status half-installed python-minimal:amd64 2.7.16-1
2023-04-12 07:52:58 status unpacked python-minimal:amd64 2.7.16-1
2023-04-12 07:52:58 install mime-support:all <none> 3.62
2023-04-12 07:52:58 status half-installed mime-support:all 3.62
2023-04-12 07:52:58 status unpacked mime-support:all 3.62
2023-04-12 07:52:58 install libexpat1:amd64 <none> 2.2.6-2+deb10u6
2023-04-12 07:52:58 status half-installed libexpat1:amd64 2.2.6-2+deb10u6
2023-04-12 07:52:58 status unpacked libexpat1:amd64 2.2.6-2+deb10u6
2023-04-12 07:52:58 install libpython2.7-stdlib:amd64 <none> 2.7.16-2+deb10u1
